text,likes,words_amount,sentiment
"Bardzo miło się Ciebie słucha. Konkretnie i rzetelnie przedstawiasz obecną sytuację na giełdzie  Życzę dalszego, szybkiego rozwoju kanału.",5,18,Very Positive
Oprócz dobrej wiedzy bardzo dobra dykcja i fajny głos. Daję suba,6,11,Very Positive
Jakie usunę się w cień? Chłopie szaleju się najadłes ? :) Robisz taki kawał dobrej roboty że nie wolno Ci przestać aż giełda nie upadnie! Dzięki!,40,24,Very Positive
"10:27 ""Prowadząc taką... eee... politykę..."" XD Dziś w formie do śmieszkowania, dobry odcinek",1,14,Positive
"""Zawód rodziny"" ",121,2,Positive
"Pomarańczowy łabędź - genialne określenie zaiste. sześć, siedem.",6,7,Very Positive
Dziekuje za kolejny dobry odcinek za promowanie wiedzy o inwestowaniu na giełdzie w naszym społeczeństwie życzę powodzenia i zdrowia,0,19,Positive
"Dzięki za interesujący odcinek i za przekazanie przydatnych i ciekawych informacji z rynku i gospodarki, zgadzam się z tym co mówiłeś",0,21,Positive
Wracam ze szkoły jem obiadek i oglądam nowy odcinek na kanale Zawód Inwestor. Życie jest piękne.,27,16,Very Positive
"najlepszy kanal o inwestowaniu w pl, przyjemnie sie slucha, przejrzysta tresc, obrazki sie zmieniaja wiec attention span zostaje zaspokojony.",0,19,Very Positive
"Ten kanał jest po prostu perełką. Najlepszy na YouTubie jeśli chodzi o inwestowanie - bez zbędnych pierdół, bez owijania w bawełnę. Sposób prowadzenia, żartów i zdrowego rozsądku tutaj przedstawiany odpowiada mi tak bardzo, że nawet gdybym stracił wszystkie pieniądze to bym nie był smutny xD No może tylko moja rodzinna nie była by zadowolona :D",67,54,Very Positive
"Piszę właśnie teraz ponad siedem słow, dziękuje bardzo ",2,8,Very Positive
"Jedyny YouTuber, którego jestem ciekaw, na co wydaje pieniądze hehe",145,10,Very Positive
Kolejny świetny materiał  Dziękuję ,1,4,Very Positive
jak zwykle konkretnie i merytorycznie.... jak dobrze liczę będzie siedem słów :-),0,11,Very Positive
"Btw. Większośc Amerykanów ma portfele emerytalne oparte o rynek akcji, także najszybciej te zmiany odczują tamtejsi emeryci. Ciekawe jak to wpłynie na dalsze decyzje imperatora.",9,25,Neutral
Naprawdę mega kanał. Super się ogląda. Oby więcej takich filmów ,0,10,Very Positive
"W końcu doczekaliśmy się spadku na amerykańskich akcjach, gotówka dla zakupów w międzyczasie pracowała w ETF na krótkoterminowe obligacje USA. REITy spisały się też nieźle, nabywane całkiem niedawno. A teraz chyba czas na budowanie pozycji w spółkach technologicznych, po mału uśredniając ceny zakupu w dół. Nie wiemy czy to już początek bessy, albo kolejna korekta. W każdym razie, coś warto kupić. 
 A, no i oczywiście dzięki wielkie za ciekawy materiał. Nadal brakuje mi porządnej wiedzy ale ty podrzuciłeś mi dużo dobrych pomysłów!",2,82,Negative
"Wspaniały materiał. Super słucha się tego, wyciąga wnioski, nabiera szerszego poglądu na inwestycje i finalnie inwestuje na własną rękę ! Niebawem pierwsze dywidendy z REIT-ów i kolejne z GPW ! Pozdrawiam !",0,30,Very Positive
"Ten moment na giełdzie w którym nie wiem czy pakować w kruka, czekać na abb xtb czy kolejne kontrowersyjne działania Trumpa i spadki big techow",6,25,Very Positive
